No,Ticker,Company Name,Sector,Sparkline,Price,Change%,Change,PriceOpen,High,Low,ClosePrev,Gap_Pct,Gap_Flag,Volume,Vol_Avg,Vol_Ratio,Vol_Flag,Daily_Range_Pct,Vol_Level,MarketCap,PE,PE_Grade,EPS,Beta,52W High,52W Low,Dist to 52W High,Dist_52W_Low,52W_Range_Pct,Range_Signal,MA20,MA50,MA200,Support,Breakout,Reversal,BSJP,Signal,Trend,Score,Score v2,Rank,Final_Signal,SL_Practical,TP_Target,RR_Ratio,ATR14,ATR %,RSI14,RSI Signal,Status,Volume_Flag,Liquidity_Score,Momentum_Score,ARA_Score,ARA_Dist_Pct,ARA_Stage,Gap_Score,Last Update,Clean Ticker
,IDX:CHEM,Chemstar Indonesia Tbk.,Basic Materials,,59,0,0,58,60,58,59,-1.69,➡️ FLAT OPEN,528800,19226003,0.03,NORMAL,3.39,NORMAL,100300885000,,—,-0.74,,170,52,-65.29411765,13.46,5.93,🟢 NEAR BOTTOM,59.21428571,70.41935484,93.48837209,54.6,,,🟡 HOLD,HOLD,SIDEWAYS,23,41.46,🔥 Watchlist,❌ AVOID,57.94,71,—,,,,,🟢 ACTIVE,📉 LOW,,,1/2/1900 0:00:00,1/24/1900 21:36:00,⚪ PRE,➖ FLAT,2026-06-24 10:17:31,CHEM
,IDX:CHIP,Pelita Teknologi Global Tbk.,Technology,,965,0.52,10,965,970,950,960,0.52,➡️ FLAT OPEN,31300,118030,0.27,NORMAL,2.07,💤 LOW,773760000000,167.34,OVERVALUED,5.74,,1600,880,-39.6875,9.09,11.11,🟢 NEAR BOTTOM,943.5714286,973.5483871,1160.271318,924,,,🟡 HOLD,BUY,SIDEWAYS,36,30,🔥 Watchlist,❌ AVOID,916.65,1158,3.99,,,,,🟢 ACTIVE,📉 LOW,,,1/15/1900 0:00:00,1/18/1900 14:24:00,⚪ PRE,➖ FLAT,2026-06-24 10:17:31,CHIP
,IDX:CINT,Chitose Internasional Tbk.,Consumer Cyclicals,,173,2.37,4,169,173,169,169,0,➡️ FLAT OPEN,9600,911417,0.01,NORMAL,2.31,💤 LOW,173000000000,5.72,CHEAP,30.23,,298,145,-41.94630872,17.24,16.34,🟡 LOWER HALF,166.3571429,177.9032258,199.4418605,152.25,,,🟡 HOLD,STRONG_BUY,UP,49,34.09,🔥 Watchlist,✅ CONFIRM BUY,161.47,208,3.04,,,,,🟢 ACTIVE,📉 LOW,,,1/27/1900 0:00:00,1/23/1900 4:48:00,🟢 EARLY,➖ FLAT,2026-06-24 10:17:31,CINT
,IDX:CITA,Cita Mineral Investindo Tbk.,Basic Materials,,3070,0.33,40,3100,3140,3040,3030,2.31,➡️ FLAT OPEN,14000,573093,0.02,NORMAL,3.26,NORMAL,12039494400000,7.27,CHEAP,417.96,,5900,2560,-47.96610169,18.75,14.37,🟢 NEAR BOTTOM,2933.571429,3254.83871,4123.372093,2688,,,🟡 HOLD,HOLD,SIDEWAYS,44,32.98,🔥 Watchlist,➖ NEUTRAL,2851.15,3684,2.81,,,,,🟢 ACTIVE,📉 LOW,,,1/9/1900 0:00:00,1/17/1900 21:36:00,⚪ PRE,➖ FLAT,2026-06-24 10:17:31,CITA
,IDX:CITY,Natura City Developments Tbk.,Property & Real Estate,,174,10.06,16,162,197,162,159,1.89,➡️ FLAT OPEN,10261900,2450507,4.19,NORMAL,20.11,🌋 VERY HIGH,940502886000,44.92,OVERVALUED,3.87,,474,82,-63.29113924,101.23,20.87,🟡 LOWER HALF,141.5714286,164.3548387,218.0826446,86.1,,,🟡 HOLD,STRONG_BUY,UP,77,56.48,⭐ Strong Buy,❌ AVOID,151.59,209,1.56,,,,,🟢 ACTIVE,⚠️ HIGH,,,4/9/1900 0:00:00,1/17/1900 21:36:00,🟡 MOMENTUM,➖ FLAT,2026-06-24 10:17:31,CITY
,IDX:CLAY,Citra Putra Realty Tbk.,Property & Real Estate,,2670,0,0,2620,2670,2620,2670,-1.87,➡️ FLAT OPEN,11400,37543,0.3,NORMAL,1.87,💤 LOW,6861900000000,532.76,—,5.01,,4310,620,-38.05104408,330.65,55.56,⚡ MID ZONE,2729.285714,2814.193548,2714.53125,651,,,🟡 HOLD,HOLD,SIDEWAYS,29,21.35,⚠️ AVOID,➖ NEUTRAL,2657.8,3204,—,,,,,🟢 ACTIVE,📉 LOW,,,12/30/1899 0:00:00,1/19/1900 0:00:00,⚪ PRE,➖ FLAT,2026-06-24 10:17:31,CLAY
,IDX:CLEO,Sariguna Primatirta Tbk.,Consumer Non-Cyclicals,,386,1.58,6,382,390,382,380,0.53,➡️ FLAT OPEN,183900,4995570,0.04,NORMAL,2.07,💤 LOW,9216000000000,23.93,PREMIUM,16.05,,690,320,-44.05797101,18.75,16.22,🟡 LOWER HALF,370.2857143,383.9354839,418.496124,336,,,🟡 HOLD,BUY,SIDEWAYS,38,33.48,🔥 Watchlist,❌ AVOID,359.93,463,2.95,,,,,🟢 ACTIVE,📉 LOW,,,1/20/1900 0:00:00,1/17/1900 16:48:00,⚪ PRE,➖ FLAT,2026-06-24 10:17:31,CLEO
,IDX:CLPI,Colorpak Indonesia Tbk.,Basic Materials,,1725,0,10,1720,1735,1690,1720,0,➡️ FLAT OPEN,160800,222717,0.72,NORMAL,2.61,💤 LOW,529965605000,7.68,CHEAP,224.75,,1735,1090,-0.5763688761,56.88,96.12,🔴 NEAR 52W HIGH,1606.428571,1600.806452,1565.775194,1144.5,,,🟡 HOLD,HOLD,SIDEWAYS,46,6.61,⚠️ AVOID,❌ AVOID,1590.3,1728,0.02,,,,,🟢 ACTIVE,📉 LOW,,,1/14/1900 0:00:00,1/18/1900 19:12:00,⚪ PRE,➖ FLAT,2026-06-24 10:17:31,CLPI
,IDX:CMNP,Citra Marga Nusaphala Persada,Infrastructure,,1340,0.75,10,1300,1350,1300,1330,-2.26,➡️ FLAT OPEN,2400,172167,0.01,NORMAL,3.73,NORMAL,8973114360000,7.86,CHEAP,170.42,,2130,1220,-37.08920188,8.61,11.54,🟢 NEAR BOTTOM,1352.5,1418.225806,1452.209302,1281,,,🟡 HOLD,BUY,SIDEWAYS,30,29.15,⚠️ AVOID,❌ AVOID,1314.35,1601,—,,,,,🟢 ACTIVE,📉 LOW,,,1/5/1900 0:00:00,1/18/1900 9:36:00,⚪ PRE,➖ FLAT,2026-06-24 10:17:31,CMNP
,IDX:CMNT,Cemindo Gemilang Tbk.,Industrials,,780,0,0,780,790,780,780,0,➡️ FLAT OPEN,3791900,17234350,0.22,NORMAL,1.28,💤 LOW,13357890000000,259.95,OVERVALUED,3,,915,595,-14.75409836,31.93,59.38,⚡ MID ZONE,791.0714286,796.7741935,784.6511628,624.75,,,🟡 HOLD,HOLD,SIDEWAYS,27,15.01,⚠️ AVOID,✅ CONFIRM BUY,768.24,825,3.83,,,,,🟢 ACTIVE,📉 LOW,,,1/17/1900 0:00:00,1/19/1900 0:00:00,⚪ PRE,➖ FLAT,2026-06-24 10:17:31,CMNT
